Character,Title,Text
Aster,My Childhood Mask,"They called me names—mean ones, cruel ones. I learned to smile through it, like painting a crack in porcelain gold. They wanted to see me break, so instead I sparkled. Ever since, I’ve worn confidence like a designer coat: loud, luxurious, and just thick enough to hide the bruises underneath."
Aster,Why I Love Pearl Port,"This town is small, yes—but small towns have large echoes. Gossip travels faster than wind, and style stands out all the more. In a place like this, all you need is a sharp smile and sharper shoes, and the world moves around you like choreography. Naturally, I adore it."
Aster,The Condo on Citrine Hill,"Every evening, I lounge by the bay windows with a glass of something dry and imported. It’s quiet—too quiet, sometimes—but that’s the price of control. I’ve built my world from scratch, thread by thread, and now I live in it like a king in his castle. Alone, yes. But majestic."
Aster,The Arrival at Pearl Port,"Ah, I remember it vividly—stepping off that creaky boat, one suitcase in hand, eyes full of dreams and spite. Pearl Port was a blank canvas, and darling, I was the brush. No one knew me yet, which meant I could be anyone. So I became someone beautiful, someone untouchable, someone... useful. That’s when the game began."
Kaden,Why I Started the Bar,"I always thought, “Why not make a hangout spot where everybody feels like they belong?” So when Old Man Will sold this place, I scraped together what I could, called in some favors, and boom—my bar was born. Upstairs is tiny, but the downstairs? That's home."
Kaden,Pearl Port - Grew Up Here!,I’ve been running around Pearl Port since I was like... five? Born and raised! I used to ride my bike down the streets with
Kaden,My Friends You Haven't Met,"Oh man, I’ve got this whole crew—Chris, Alex, and Angel—we’ve been tight since forever. We used to sneak into the Wilderness at night, totally convinced we’d find treasure or ghosts or something. They all moved or got jobs outta town, but I still text ’em dumb memes at like 2AM. We got history, y’know?"
Kaden,Pearl Port High - Coaching the Kids,"My kids are the best, no joke. Some of ’em act tough, but I see ’em light up when they land their first flick or score a goal. I’m not just teaching 'em sports, y’know? I’m teachin' teamwork, confidence, showing up for each other. They give me hope, straight up."
Kaden,Living Above the Bar,"It’s not much—tiny bathroom, creaky stairs, fridge that hums like a dying whale—but it’s mine. I can roll outta bed and be at work in thirty seconds. Plus, when the night’s quiet, I sit on the fire escape and just listen to the ocean. It’s... peaceful, y’know?"
Kaden,The Town’s Social Web,"I know everybody. Seriously. I bartend, I coach, I volunteer at the fall fair—I’ve been to like three of Mrs. Sato’s awkward dinner parties and I know what Jade likes in tea. Folks talk to me. I guess they know I won’t judge. I just like people. Simple as that."
